winner_name,wins,aces,double_faults,service_points,1st_serves_made,1st_serve_points_won,2nd_serve_points_won,service_games_won,break_points_saved,break_points_faced,height
Abedallah Shelbayh,1,3.0,2.0,55.0,33.0,24.0,8.0,9.0,4.0,7.0,
Adolfo Daniel Vallejo,2,,,,,,,,,,
Adrian Mannarino,58,6.410714285714286,2.0,77.30357142857143,46.857142857142854,35.232142857142854,17.767857142857142,12.303571428571429,3.6785714285714284,5.125,183.0
Ainius Sabaliauskas,1,,,,,,,,,,
Aisam Ul Haq Qureshi,1,6.0,5.0,65.0,38.0,32.0,17.0,11.0,0.0,0.0,183.0
Alastair Gray,1,7.0,4.0,117.0,73.0,55.0,25.0,15.0,9.0,10.0,
Albert Ramos,36,3.2857142857142856,1.457142857142857,77.85714285714286,51.371428571428574,35.42857142857143,15.142857142857142,11.971428571428572,4.771428571428571,6.6571428571428575,188.0
Alejandro Davidovich Fokina,50,3.46,2.48,81.18,53.46,37.62,15.36,12.7,3.84,5.92,183.0
Alejandro Tabilo,20,6.473684210526316,2.4210526315789473,72.47368421052632,47.21052631578947,35.473684210526315,13.421052631578947,11.526315789473685,3.210526315789474,4.842105263157895,188.0
Aleksandar Kovacevic,6,10.5,2.5,85.83333333333333,53.833333333333336,43.333333333333336,16.0,13.5,4.333333333333333,5.833333333333333,
Aleksandar Vukic,16,11.1875,2.0625,88.3125,52.875,41.75,20.5,14.4375,1.9375,3.3125,188.0
Aleksandre Bakshi,1,,,,,,,,,,
Alex De Minaur,84,3.74025974025974,2.220779220779221,73.25974025974025,42.15584415584416,31.22077922077922,17.90909090909091,11.831168831168831,3.2467532467532467,4.8311688311688314,183.0
Alex Knaff,2,,,,,,,,,,
Alex Michelsen,7,5.142857142857143,1.7142857142857142,80.85714285714286,53.142857142857146,39.42857142857143,15.857142857142858,12.714285714285714,3.142857142857143,4.285714285714286,
Alex Molcan,40,3.473684210526316,2.263157894736842,84.76315789473684,55.94736842105263,38.55263157894737,16.57894736842105,13.105263157894736,4.394736842105263,6.605263157894737,178.0
Alexandar Lazarov,2,6.0,1.0,66.0,43.0,32.0,15.0,11.0,1.0,2.0,185.0
Alexander Bublik,49,13.791666666666666,6.041666666666667,74.77083333333333,45.020833333333336,37.479166666666664,14.854166666666666,12.333333333333334,2.5416666666666665,3.7291666666666665,196.0
Alexander Ritschard,4,4.333333333333333,1.0,70.0,38.333333333333336,31.0,15.333333333333334,10.666666666666666,4.333333333333333,5.666666666666667,
Alexander Shevchenko,8,4.25,3.5,75.0,39.25,28.125,19.125,11.5,5.625,7.75,
Alexander Zverev,71,8.314285714285715,3.2142857142857144,77.35714285714286,54.32857142857143,41.52857142857143,11.928571428571429,12.628571428571428,3.1142857142857143,4.428571428571429,198.0
Alexandre Muller,8,3.375,2.125,78.0,52.25,36.0,13.875,12.375,3.5,5.875,183.0
Alexei Popyrin,26,9.48,3.28,83.72,51.16,40.84,17.8,13.12,2.88,3.92,196.0
Aljaz Bedene,4,11.0,3.6666666666666665,116.66666666666667,62.666666666666664,47.666666666666664,30.333333333333332,18.666666666666668,6.666666666666667,9.333333333333334,181.0
Altug Celikbilek,4,10.666666666666666,2.6666666666666665,67.66666666666667,43.333333333333336,35.0,12.0,11.0,3.6666666666666665,4.666666666666667,183.0
Amr Elsayed Abdou Ahmed Mohamed,2,3.0,3.0,63.0,38.0,29.0,14.0,9.0,5.0,5.0,
Andrea Vavassori,4,6.25,5.5,122.25,74.5,53.75,24.0,17.0,7.25,10.25,193.0
Andreas Seppi,2,6.5,4.0,79.5,48.5,35.0,14.0,13.0,3.0,6.0,190.0
Andres Martin,1,2.0,1.0,52.0,34.0,28.0,11.0,9.0,2.0,2.0,
Andrey Rublev,95,8.031578947368422,1.9263157894736842,80.97894736842105,50.02105263157895,38.85263157894737,16.873684210526317,13.157894736842104,3.294736842105263,4.7894736842105265,188.0
Andy Murray,39,6.815789473684211,2.0789473684210527,85.60526315789474,53.55263157894737,40.36842105263158,18.026315789473685,13.605263157894736,3.0526315789473686,4.7105263157894735,190.0
Antoine Bellier,4,8.75,6.25,80.0,52.0,42.0,12.0,11.5,5.5,6.5,196.0
Aqeel Khan,1,8.0,4.0,96.0,59.0,47.0,21.0,15.0,6.0,8.0,
Aristotelis Thanos,1,0.0,4.0,70.0,48.0,35.0,12.0,10.0,5.0,5.0,
Arklon Huertas Del Pino,1,,,,,,,,,,
Arthur Fils,16,6.214285714285714,3.0714285714285716,74.07142857142857,45.142857142857146,34.142857142857146,15.071428571428571,11.642857142857142,3.9285714285714284,5.5,185.0
